English,EnglishMeaning,POS,EnglishPronunciation ,Lang,EnglishSentence,EnglishSentenceTranslate,EnglishAudio,LangAudio
name,forename,noun,name,نام,My name is James.,اسم من جیمز است.,,
name,surname,noun,name,نام,Gonzalez is a very common name in Latin America.,گونزالز یک نام بسیار رایج در آمریکای لاتین است.,,
name,reputation,noun,name,نام,It would seem that he deserves his good name.,به نظر می رسد که او سزاوار نام خوبش است.,,
name,person,noun,name,نام,All of the biggest names in fashion are going to be at the show.,همه بزرگترین نام های مد در حال نمایش هستند.,,
name,insult,noun,name,نام,Ben came home from school in tears because people had been calling him names.,"بن از مدرسه در اشک به خانه برگشت، زیرا مردم نام او را نام بردند.",,
name,to give a name,transitive verb,name,نام,"We've agreed to name our baby Luis, after my wife's grandfather.","ما موافقت کرده ایم که پس از پدربزرگ همسر من، بچه های ما را نام ببریم.",,
name,to mention,transitive verb,name,نام,You weren't named in the will.,شما در اراده نامگذاری نشده اید.,,
name,to appoint,transitive verb,name,نام,Percy Weasley was just named a prefect.,پرسی ویزلی فقط یک پیشفرض نامگذاری شد.,,
name,to identify,transitive verb,name,نام,Can you name the three largest cities in Delaware?,آیا می توانید سه بزرگترین شهرهای دلاور را نام ببرید؟,,
room,living space,noun,room,اتاق,My room is very comfortable.,اتاق من بسیار راحت است,,
room,"living space, bedroom",noun,room,اتاق,Your books are in the other room.,کتاب های شما در اتاق دیگر هستند.,,
room,space,noun,room,اتاق,There is no room left for my shoes!,هیچ اتاق برای کفش های من وجود ندارد!,,
room,scope,noun,room,اتاق,There's no room for error.,هیچ جایی برای خطا وجود ندارد,,
room,to lodge,intransitive verb,room,اتاق,I won't room with such an arrogant person.,من با چنین شخص متکبر اتاق نخواهم داشت.,,
percent,percentage,noun,percent,درصد,Forty percent of those surveyed preferred the taste of option B.,چهل درصد از کسانی که مورد بررسی قرار گرفته طعم و مزه گزینه B.,,
far,distant in space,adverb,far,دور,How far is it to Mexico City?,تا چه حد آن را به مکزیکو سیتی؟,,
far,distant in time,adverb,far,دور,Grandpa's birthday is not far.,تولد پدربزرگ خیلی دور نیست,,
far,a lot,adverb,far,دور,The weather is far better here than in New York.,آب و هوا در اینجا بسیار بهتر از نیویورک است.,,
far,distant,adjective,far,دور,China is in the Far East.,چین در شرق دور است.,,
far,extreme,adjective,far,دور,The far right controls the party.,راست راست حزب را کنترل می کند.,,
away,in the distance,adverb,away,دور,The village is not far away.,روستا دور نیست,,
away,not present,adverb,away,دور,"I'll be away next week, so you are in charge.","من هفته آینده خواهم بود، بنابراین شما مسئول هستید.",,
away,at a distance of,adverb,away,دور,Her family lives many miles away.,خانواده اش چند مایل دور زندگی می کنند.,,
away,non-stop,adverb,away,دور,We talked away the night.,ما شب را دور کردیم.,,
law,regulation,noun,law,قانون,How many laws has the government passed this year?,چند قانون دولت در سال جاری گذشت؟,,
law,"group of rules, uncountable",noun,law,قانون,No one is above the law.,هیچ کس بالاتر از قانون نیست,,
law,"field of study, uncountable",noun,law,قانون,Paul is studying law.,پل در حال مطالعه قانون است,,
law,"profession, uncountable",noun,law,قانون,She has 20 years of experience practicing law.,او 20 سال تجربه تجربه را تجربه می کند.,,
law,science,noun,law,قانون,Newton's First Law is commonly known as the law of inertia.,قانون نخستین نیوتن به طور معمول به عنوان قانون اینرسی شناخته می شود.,,
law,police,noun,law,قانون,The criminals rushed to hide the drugs before the law arrived.,جنایتکاران عجله کردند تا قبل از رسیدن به قانون مواد مخدر را پنهان کنند.,,
actually,really,adverb,actually,در حقیقت,Will people actually be able to live on Mars?,آیا مردم واقعا قادر به زندگی در مریخ خواهند بود؟,,
actually,for emphasis,adverb,actually,در حقیقت,I can't believe we're actually on vacation!,من نمی توانم باور کنم ما در واقع در تعطیلات هستیم!,,
actually,exactly,adverb,actually,در حقیقت,What did your father actually say to you?,پدر شما واقعا به شما چه گفت؟,,
actually,in fact,adverb,actually,در حقیقت,"Did you like the play? I've read very bad reviews. - Actually, I thought it was great.","آیا شما بازی را دوست دارید؟ من بررسی های بسیار بد را خوانده ام. - در واقع، من فکر کردم عالی بود.",,
large,in size,adjective,large,بزرگ,I need a large work space that can accommodate all my tools.,من نیاز به یک فضای کاری بزرگ دارم که می تواند تمام ابزارهای من را جایگزین کند.,,
large,in quantity,adjective,large,بزرگ,We bought timber in large quantities.,ما چوب را در مقادیر زیادی خریداری کردیم.,,
large,in importance,adjective,large,بزرگ,Music played a large part in his life.,موسیقی در زندگی او نقش مهمی ایفا کرد.,,
large,in scope,adjective,large,بزرگ,The event received large coverage by the media.,این رویداد توسط رسانه ها پوشش بزرگ دریافت کرد.,,
large,clothing size,noun,large,بزرگ,"I'm usually a large, but this jacket is really big on me.","من معمولا بزرگ هستم، اما این ژاکت واقعا بزرگ است.",,
though,in spite of the fact that,conjunction,though,اگر چه,"Though he's only seven years old, he plays the piano very well.","اگرچه او تنها هفت ساله است، او به خوبی پیانو را بازی می کند.",,
though,but,conjunction,though,اگر چه,"She didn't say whether she was coming, though she could have called to let me know.","او نمی گوید که آیا او می آید، هر چند او می توانست نامیده شود تا به من اطلاع دهد.",,
though,even if,conjunction,though,اگر چه,"Though he rejects me, I shall not forsake him.","اگرچه او مرا رد کرد، من او را ترک نخواهم کرد.",,
though,however,adverb,though,اگر چه,The trip wasn't very interesting. The weather was good though.,سفر بسیار جالب نبود. آب و هوا خوب بود هر چند.,,
though,indeed,adverb,though,اگر چه,That puppy is so cute! - Isn't he though?,این توله سگ خیلی زیبا است! - آیا او نیست؟,,
provide,to supply,transitive verb,provide,ارائه دادن,The company will provide a light lunch.,این شرکت ناهار نور را ارائه می دهد.,,
provide,"to supply, service",transitive verb,provide,ارائه دادن,Will the company provide an interpreting service?,آیا این شرکت خدمات تفسیری را ارائه می دهد؟,,
provide,to give,transitive verb,provide,ارائه دادن,The orange tree provided oranges for the whole family.,درخت نارنجی برای کل خانواده پرتقال را ارائه داد.,,
provide,legal,transitive verb,provide,ارائه دادن,The law provides that there is a minimum wage.,قانون فراهم می کند که حداقل دستمزد وجود دارد.,,
lose,to not find,transitive verb,lose,از دست دادن,I lost my cellphone at work.,تلفن همراه من را در محل کار از دست دادم,,
lose,to not win,transitive verb,lose,از دست دادن,She lost the race despite all the training she'd done.,"او این مسابقه را از دست داد، علیرغم تمام آموزش هایی که او انجام داد.",,
lose,"to be deprived of, rights, sight, a loved one",transitive verb,lose,از دست دادن,She lost her parents when she was 12.,"وقتی او 12 ساله بود، پدر و مادرش را از دست داد.",,
lose,to get rid of,transitive verb,lose,از دست دادن,He has already lost three pounds!,او قبلا سه پوند را از دست داده است!,,
lose,"to get rid of, a pursuer",transitive verb,lose,از دست دادن,I managed to lose him by dodging down a side alley.,من موفق شدم او را از دست بدهم که یک کوچه جانبی را از دست بدهم.,,
lose,"to waste, time or an opportunity",transitive verb,lose,از دست دادن,I've lost a lot of sleep thinking about this.,من در مورد این فکر بسیاری از خواب را از دست دادم.,,
lose,to cause the loss of,transitive verb,lose,از دست دادن,Arguing with him lost me my job.,استدلال با او کار من را از دست داد.,,
lose,to confuse,transitive verb,lose,از دست دادن,She lost me when she started explaining fractions.,"وقتی او شروع به توضیح کسری کرد، او را از دست داد.",,
lose,to become slower,transitive verb,lose,از دست دادن,The kitchen clock loses two minutes every day.,ساعت آشپزخانه هر روز دو دقیقه را از دست می دهد.,,
lose,to miss,transitive verb,lose,از دست دادن,We lost our connection in Madrid.,ما ارتباط ما را در مادرید از دست دادیم.,,
lose,to fail to keep,transitive verb,lose,از دست دادن,She lost some clients over the past weeks.,او برخی از مشتریان را در هفته های گذشته از دست داد.,,
lose,to fail to win,intransitive verb,lose,از دست دادن,We lost by two goals.,ما دو گل از دست دادیم,,
lose,to have a loss,intransitive verb,lose,از دست دادن,I’m losing on the rental of my house.,من از دست دادن خانه من از دست می دهم,,
lose,to be absorbed,intransitive verb,lose,از دست دادن,I lost myself reading such a good book.,من خودم را از خواندن چنین کتاب خوبی از دست دادم.,,
power,control,noun,power,قدرت,The power is in the hands of the consumers.,قدرت در دست مصرف کنندگان است.,,
power,politics,noun,power,قدرت,He came to power in 1964.,او در سال 1964 به قدرت رسید.,,
power,military,noun,power,قدرت,The country's military power is steadily growing.,قدرت نظامی کشور به طور پیوسته رشد می کند.,,
power,finance,noun,power,قدرت,There's been a shift in global economic power.,تغییر در قدرت اقتصادی جهانی وجود دارد.,,
power,authority,noun,power,قدرت,Police do not have the power to search you.,پلیس قدرت را برای جستجوی شما ندارد,,
power,ability,noun,power,قدرت,How can I increase my negotiating power?,چگونه می توانم قدرت مذاکره را افزایش دهم؟,,
power,physical strength,noun,power,قدرت,The hurricane continues to gain power as it crosses the Atlantic.,"طوفان همچنان به قدرت برساند، زیرا از اقیانوس اطلس عبور می کند.",,
power,force,noun,power,قدرت,The power of love demolishes barriers.,"قدرت عشق، موانع را تخریب می کند.",,
power,electrical energy,noun,power,قدرت,"There's no power! - Yeah, it went out after that last clap of thunder.","هیچ قدرت وجود ندارد! - آره، پس از آن آخرین خم شدن رعد و برق، بیرون رفت.",,
power,powerful country,noun,power,قدرت,Many of the world powers signed the treaty.,بسیاری از قدرت های جهانی این معاهده را امضا کردند.,,
power,mathematics,noun,power,قدرت,Two to the power of three is eight.,دو تا قدرت سه هشت است.,,
power,to give energy,transitive verb,power,قدرت,The turbines are powered by wind.,توربین ها توسط باد طراحی شده اند.,,
kid,young child,noun,kid,بچه,The kids are out playing on the swings.,بچه ها از نوسان بازی می کنند.,,
kid,relative,noun,kid,بچه,"How many kids do you have? - Two, a boy and a girl.","چند تا بچه داری؟ - دو، یک پسر و یک دختر.",,
kid,animal,noun,kid,بچه,The Johnsons have a new kid on their farm.,جانزون ها یک بچه جدید در مزرعه خود دارند.,,
kid,culinary,noun,kid,بچه,I'll have the roast kid with potatoes and plums.,من بچه کباب با سیب زمینی و آلو دارم.,,
kid,to joke,intransitive verb,kid,بچه,I wasn't serious. I was only kidding.,من جدی نبودم من فقط شوخی کردم,,
war,conflict,noun,war,جنگ,The war has cost thousands of soldiers and civilians their lives.,جنگ هزینه هزاران سرباز و غیرنظامیان را دارد.,,
war,to fight,intransitive verb,war,جنگ,The two countries have warred over this land for centuries.,این دو کشور برای قرن ها از این سرزمین ها استفاده کرده اند.,,
understand,to comprehend,transitive verb,understand,فهمیدن,He lived in Paris for three years and still doesn't understand a word of French.,او سه سال در پاریس زندگی کرد و هنوز یک کلمه فرانسوی را درک نمی کرد.,,
understand,to interpret,transitive verb,understand,فهمیدن,The troop movement can only be understood as a provocation.,جنبش سربازان تنها می تواند به عنوان تحریک کننده درک شود.,,
understand,to have heard,transitive verb,understand,فهمیدن,"From what I understand, she got divorced.","از آنچه من می فهمم، او طلاق گرفت.",,
understand,to feel empathy for,transitive verb,understand,فهمیدن,"I understand you, but I think you have to overcome the victim mentality.","من شما را درک می کنم، اما من فکر می کنم شما باید از ذهنیت قربانی غلبه کنید.",,
head,anatomy,noun,head,سر,I hit my head on the corner of the cupboard door.,من سرم را در گوشه درب کابینت گرفتم.,,
head,mind,noun,head,سر,I can't get you out of my head.,من نمی توانم شما را از سرم بیرون کنم,,
head,person in charge,noun,head,سر,There's a meeting of all department heads at 4 pm.,در ساعت 4 بعد از ظهر یک نشست از تمام گروه های گروه وجود دارد.,,
head,top part,noun,head,سر,"I missed the head of the nail with the hammer, and hit my thumb.",من سر ناخن را با چکش از دست دادم و انگشت شست را گرفتم.,,
head,"top part, of an arrow or spear",noun,head,سر,The natives apply poison to the dart heads to hunt animals from afar.,بومیان سم را به سرهای دندانه ای به حیوانات شکار می کنند.,,
head,"top part, of furniture",noun,head,سر,My father always sits at the head of the table.,پدرم همیشه در سر میز نشسته است.,,
head,"top part, of beer",noun,head,سر,There was a trace of white on his mustache from the head of his beer.,یک ردی از سفید بر روی سبیل خود را از سر آبجو خود وجود دارد.,,
head,person attending an event,noun,head,سر,The dinner is going to cost about 50 dollars a head.,شام حدود 50 دلار هزینه دارد.,,
head,animal,noun,head,سر,They lost 15 head of cattle to the sickness.,آنها 15 سر گاو را به بیماری از دست دادند.,,
head,technology,noun,head,سر,"To clean the head of a cassette player, rub it with a swab dipped in alcohol.","برای تمیز کردن سر یک بازیکن کاست، آن را با یک سواب خرد شده در الکل بشویید.",,
head,nautical: bows,noun,head,سر,The waves crashed over the head of the ship.,امواج بیش از سر کشتی سقوط کردند.,,
head,bathroom on a boat,noun,head,سر,Eric said he needed to go to the head.,اریک گفت که او نیاز به رفتن به سر دارد.,,
head,sexual,noun,head,سر,Julie's really good at giving head.,جولی واقعا خوب است.,,
head,botany,noun,head,سر,I used two whole heads of garlic in the stew.,من از دو سر کل سیر در خورش استفاده کردم.,,
head,to move,intransitive verb,head,سر,"If you hear the alarm, please head in the direction of the exit.","اگر زنگ هشدار را می شنوید، لطفا در جهت خروج سر بزنید.",,
head,to be the chief of,transitive verb,head,سر,He headed the company from 1983 until his retirement.,او از سال 1983 تا سال 1983 تا بازنشستگی خود را رهبری کرد.,,
head,to direct,transitive verb,head,سر,The firefighter headed the people towards the exit.,آتش نشان مردم را به سمت خروج هدایت کرد.,,
head,to be at the front of,transitive verb,head,سر,"The demonstration, headed by the opposition leader, demanded more social benefits.","تظاهرات تحت رهبری رهبر مخالف، خواستار مزایای اجتماعی بیشتری شد.",,
head,to give a title to,transitive verb,head,سر,The author used quotes to head the chapters of his book.,نویسنده از نقل قول ها استفاده کرد تا فصل های کتاب خود را رهبری کند.,,
head,sports,transitive verb,head,سر,He headed the ball back towards the goalkeeper.,او توپ را به سمت دروازه بان رفت.,,
heads,side of a coin,plural noun,heads,سر,The referee is going to throw the coin; if it’s heads our team kicks off.,داور قصد دارد سکه را پرتاب کند؛ اگر سران تیم ما را از بین ببرند.,,
mother,relative,noun,mother,مادر,"My mother was born in Chile, and my father in Texas.",مادر من در شیلی متولد شد و پدرم در تگزاس.,,
mother,to give birth,transitive verb,mother,مادر,Our cat has mothered four kittens.,گربه ما چهار بچه گربه داشته است.,,
mother,to spoil,transitive verb,mother,مادر,My boyfriend loves being mothered by me.,دوست پسر من دوست دارد مادرم باشه,,
best,"superlative of ""good""",adjective,best,بهترین,My mom is the best cook in the world.,مادر من بهترین آشپز در جهان است.,,
best,"superlative of ""well""",adverb,best,بهترین,I fixed it as best as I could.,من آن را به بهترین شکل ثابت کردم.,,
best,most superior thing,noun,best,بهترین,"You deserve the best, and you'll get it.","شما سزاوار بهترین هستید، و آن را دریافت خواهید کرد.",,
best,to win,transitive verb,best,بهترین,He was bested by his teammate.,او توسط هم تیمی خود را به دست آورد.,,
team,sports,noun,team,تیم,What's your favorite soccer team?,تیم فوتبال مورد علاقه شما چیست؟,,
team,people who work together,noun,team,تیم,Our manager took our whole team out to lunch.,مدیر ما تمام تیم ما را به ناهار برد.,,
team,"animals harnessed together, horses",noun,team,تیم,What a beautiful team of Andalusians you have.,یک تیم زیبا از Andalusians شما دارید.,,
team,"animals harnessed together, oxen",noun,team,تیم,The team of oxen plodded along slowly.,تیم اکسن به آرامی در حال سقوط است.,,
team,to join in a team,transitive verb,team,تیم,We have to team the horses to ride in the carriage.,ما باید اسب را به سوار شدن در حامل سوار کنیم.,,
team,relating to a team,adjective,team,تیم,Soccer and baseball are team sports.,فوتبال و بیس بال ورزش تیم هستند.,,
eye,anatomy,noun,eye,چشم,She has blonde hair and green eyes.,او موهای بلوند و چشم های سبز دارد.,,
eye,weather,noun,eye,چشم,The weather in the eye of a hurricane can be very calm.,آب و هوا در چشم طوفان می تواند بسیار آرام باشد.,,
eye,sense,noun,eye,چشم,She has a good eye for detail.,او برای جزئیات خوب است.,,
eye,sewing,noun,eye,چشم,It took me various attempts to get the thread through the eye of the needle.,من تلاش های مختلفی برای گرفتن موضوع از طریق چشم سوزن گرفتم.,,
eye,"botany, of potatoes or apples",noun,eye,چشم,These potatoes will be good for planting because they have a lot of eyes which have already started to sprout.,این سیب زمینی برای کاشت خوب خواهد بود زیرا آنها چشم های زیادی دارند که قبلا شروع به رشد کرده اند.,,
eye,to watch,transitive verb,eye,چشم,He was eyeing the cookies intently.,او کوکی ها را به شدت تماشا کرد.,,
eyes,gaze,plural noun,eyes,چشم ها,The child couldn't take her eyes off of the massive cake on the table.,کودک نمیتواند چشمانش را از کیک عظیم بر روی میز بگیرد.,,
long,length or distance,adjective,long,طولانی,We have a long way to go before we get home.,"ما پیش از رفتن به خانه، راه زیادی برای رفتن داریم.",,
long,time,adjective,long,طولانی,The talk was so long that I fell asleep.,این گفتگو طولانی بود که من خوابیدم.,,
long,linguistics,adjective,long,طولانی,"The vowel in the word ""boot"" is a long vowel.","واکه در کلمه ""بوت"" یک واکه طولانی است.",,
long,for a long time,adverb,long,طولانی,Are you going to take long?,آیا می خواهید طول بکشد؟,,
long,to desire,intransitive verb,long,طولانی,I long for the day when no one has a hidden agenda.,"من برای روزی که هیچ کس یک دستور کار پنهانی ندارد، طول می کشد.",,
side,edge,noun,side,سمت,Which side of the bed do you prefer to sleep on?,کدام یک از طرفین را ترجیح می دهید؟,,
side,"edge, of a river",noun,side,سمت,We walked barefoot on the side of the river.,ما پابرهنه در کنار رودخانه راه می رفتیم.,,
side,"edge, of a mountain",noun,side,سمت,The sides of the mountain were completely vertical and impossible to climb.,دو طرف کوه به طور کامل عمودی و غیرممکن بود.,,
side,part,noun,side,سمت,I always wonder what hides on the dark side of the moon.,من همیشه تعجب می کنم که چه چیزی در قسمت تاریک ماه پنهان شده است.,,
side,"anatomy, person",noun,side,سمت,He lost his balance and fell to the floor on his left side.,او تعادل خود را از دست داد و در سمت چپ خود به طبقه افتاد.,,
side,"anatomy, animal",noun,side,سمت,The donkey showed a cut on his left side.,خر به سمت چپ خود را نشان داد.,,
side,faction,noun,side,سمت,You never take my side in a discussion.,شما هرگز در یک بحث نگیرید.,,
side,sports,noun,side,سمت,The fans supported their side right to the end of the game.,طرفداران طرف مقابل خود را به انتهای بازی پشتیبانی کردند.,,
side,perspective,noun,side,سمت,I always try to see the positive side of every situation.,من همیشه سعی می کنم سمت مثبت هر وضعیت را ببینم.,,
side,line of descent,noun,side,سمت,My eye color comes from my mother's side.,رنگ چشم من از طرف مادر من می آید.,,
side,culinary,noun,side,سمت,Shall we order a couple of sides to share?,ما باید چند طرف را به اشتراک بگذاریم؟,,
side,lateral,adjective,side,سمت,We went out the side door of the movie theater.,ما درب جانبی تئاتر فیلم را بیرون رفتیم.,,
side,secondary,adjective,side,سمت,I don't take that medication because of its side effects.,من این دارو را به دلیل عوارض جانبی آن نمی گیرم.,,
side,supplementary,adjective,side,سمت,My online business has grown so much recently that I don't know whether I can continue to run it as a side job.,کسب و کار آنلاین من اخیرا افزایش یافته است که من نمی دانم آیا می توانم آن را به عنوان یک کار جانبی ادامه دهم.,,
side,to support,intransitive verb,side,سمت,Several workers sided against their manager.,چندین کارگر در برابر مدیر خود قرار داشتند.,,
water,liquid,noun,water,اب,The healthiest drink is water.,سلامتی ترین نوشیدنی آب است.,,
water,to irrigate,transitive verb,water,اب,I water my garden every Sunday.,هر روز یکشنبه باغ من را آب می کنم,,
water,to secrete saliva,intransitive verb,water,اب,Her mouth watered when she saw the cake.,"دهان او را هنگامی که کیک را دید، آبیاری کرد.",,
water,to tear up,intransitive verb,water,اب,My eyes are still watering from the tear gas.,چشمان من هنوز از گاز اشک آور آبیاری می شود.,,
waters,body of water,plural noun,waters,آبها,The ship entered foreign waters.,کشتی وارد آب های خارجی شد.,,
young,age,adjective,young,جوان,My mother and father married at a young age.,مادر و پدر من در سن جوانی ازدواج کردند.,,
young,appearance,adjective,young,جوان,How do you maintain such young skin?,چگونه پوست جوان را حفظ می کنید؟,,
young,inexperienced,adjective,young,جوان,"My assistant is still young at this, but he'll get better.","دستیار من هنوز هم جوان است، اما او بهتر خواهد شد.",,
young,young people,plural noun consistent,young,جوان,The young are full of hope.,جوان پر از امید است.,,
young,animal offspring,plural noun consistent,young,جوان,The lioness protected her young from the hyena.,شیرجه جوان خود را از هیون محافظت کرد.,,
wait,to hold on,intransitive verb,wait,صبر کن,I'm waiting for him to get out of his meeting so we can eat.,من منتظر او هستم تا از جلسه او بیرون بیایم تا بتوانیم بخوریم.,,
wait,to postpone,intransitive verb,wait,صبر کن,That can wait. This is more important.,که می تواند صبر کند این مهم تر است.,,
wait,delay,noun,wait,صبر کن,Bowling is fun but the wait to get a lane is unbearable.,"بولینگ سرگرم کننده است، اما صبر کردن برای گرفتن یک خط غیر قابل تحمل است.",,
okay,correctly,adverb,okay,باشه,Everything is going to be okay.,همه چی درست میشه.,,
okay,agreed,interjection,okay,باشه,Let's go out for dinner. - Okay.,بیایید برای شام بیرون برویم - باشه.,,
okay,used as a filler,interjection,okay,باشه,"Okay, then. Let's make a start.","خوب، پس. بیایید شروع کنیم",,
okay,in a satisfactory state,adjective,okay,باشه,Are you okay? The fall had to hurt.,حالت خوبه؟ سقوط باید صدمه ببیند,,
okay,acceptable,adjective,okay,باشه,"The movie is okay, but I wish it had a little bit more action.","فیلم خوب است، اما من آرزو می کنم آن را کمی اقدام بیشتری داشته باشد.",,
okay,likeable,adjective,okay,باشه,"She is more than okay, she is incredible.","او بیش از حد خوب است، او باور نکردنی است.",,
okay,permissible,adjective,okay,باشه,"If you don't feel like going out, that's quite okay.","اگر احساس نکنید بیرون بروید، این کاملا خوب است.",,
okay,approval,noun,okay,باشه,You have my okay to post it.,من خوبم که آن را پست کنم,,
okay,to approve,transitive verb,okay,باشه,"For it to be implemented, the committee must okay it.","برای اجرای آن، کمیته باید آن را خوب کند.",,
both,"the one and the other, masculine",pronoun,both,هر دو,My best friends are from Chile. Both live in Santiago.,بهترین دوستان من از شیلی هستند. هر دو در سانتیاگو زندگی می کنند.,,
both,"the one and the other, feminine",pronoun,both,هر دو,How did your daughters do on the test? - Both got good grades.,دختران شما چگونه در آزمون انجام شد؟ - هر دو نمرات خوبی داشتند,,
both,the one and the other,adjective,both,هر دو,Should we visit Barcelona or Paris? Both cities are beautiful.,آیا ما باید بارسلونا یا پاریس را ببینیم؟ هر دو شهر زیبا هستند.,,
both,"equally; used with ""and""",conjunction,both,هر دو,Both my sister and my friend live abroad.,هر دو خواهر من و دوست من زندگی می کنند خارج از کشور.,,
yet,up to now,adverb,yet,هنوز,They haven't arrived yet.,آنها هنوز وارد نشده اند.,,
yet,to date,adverb,yet,هنوز,This is their best album yet.,این بهترین آلبوم آنهاست.,,
yet,even,adverb,yet,هنوز,I lent him some money but now he's asking for yet more.,"من او را به او قرض داد، اما در حال حاضر او درخواست شده است بیشتر.",,
yet,eventually,adverb,yet,هنوز,I'll beat him yet.,من هنوز او را ضرب و شتم,,
yet,referring to the future,adverb,yet,هنوز,We have two hours yet before the plane leaves.,ما هنوز دو ساعت قبل از برگه هواپیما داریم.,,
yet,in addition,adverb,yet,هنوز,She took out yet more photos to show me.,او عکس های بیشتری را برای نشان دادن من گذاشت.,,
yet,"so soon, with negatives",adverb,yet,هنوز,They're here already? I wasn't expecting them yet.,آنها قبلا اینجا هستند؟ من هنوز انتظار نداشتم.,,
yet,however,conjunction,yet,هنوز,"It was a quiet place, yet she found the silence somewhat unsettling.","این یک مکان آرام بود، اما او سکوت را تا حدودی ناراحت کرد.",,
meet,to become acquainted with,transitive verb,meet,ملاقات,I met my wife at a Star Trek convention.,من همسرم را در یک کنفرانس ستاره دنباله دار دیدم.,,
meet,to come together with,transitive verb,meet,ملاقات,I am meeting my friends for brunch at noon.,من دوستانم را برای صبحانه در ظهر ملاقات می کنم.,,
meet,to conform,transitive verb,meet,ملاقات,I don't meet the requirements for the position.,من الزامات موقعیت را برآورده نمی کنم.,,
meet,to welcome,transitive verb,meet,ملاقات,My boyfriend met me with flowers after work.,دوست پسر من بعد از کار با گل ها ملاقات کرد.,,
meet,to encounter,transitive verb,meet,ملاقات,He met his death on the battlefield.,او مرگ خود را در میدان جنگ ملاقات کرد.,,
meet,to join,transitive verb,meet,ملاقات,This is the place where the four states meet.,این جایی است که چهار ایالت ملاقات می کنند.,,
meet,sports,noun,meet,ملاقات,The meet is at a quarter past seven in the high-school pool.,این ملاقات در یک چهارم هفت سال گذشته در استخر دبیرستان است.,,
service,help,noun,service,سرویس,"I don't know how I can thank you for the service you've done us, doctor.","من نمی دانم چگونه می توانم از شما برای خدماتی که ما را انجام داده اید تشکر می کنم، دکتر.",,
service,organization,noun,service,سرویس,All staff who work for the prison service know about the scandal.,"تمام کارکنانی که برای خدمات زندان کار می کنند، در مورد رسوایی می دانند.",,
service,public utility,noun,service,سرویس,The public transportation service in this city is amazing.,خدمات حمل و نقل عمومی در این شهر شگفت انگیز است.,,
service,assistance,noun,service,سرویس,Our customer service is available 24/7.,خدمات مشتری ما 24/7 در دسترس است.,,
service,work done by a person that serves,noun,service,سرویس,The service in this restaurant is really fast.,سرویس این رستوران واقعا سریع است.,,
service,disposal,noun,service,سرویس,Don't forget that our staff are at your service.,فراموش نکنید که کارکنان ما در خدمت شما هستند.,,
service,employment,noun,service,سرویس,He was dismissed after one year's service.,او پس از یک سال خدمات اخراج شد.,,
service,military,noun,service,سرویس,My little brother is in the service.,برادر کوچک من در خدمت است.,,
service,use,noun,service,سرویس,The new planes will come into service next year.,هواپیماهای جدید در سال آینده به خدمت می روند.,,
service,"religious, Protestant",noun,service,سرویس,The service will start later today because of a wedding.,این سرویس به دلیل عروسی شروع خواهد شد.,,
service,"religious, Catholic",noun,service,سرویس,What time does the service begin?,سرویس چه زمانی آغاز می شود؟,,
service,maintenance,noun,service,سرویس,The van needs service every six months.,ون هر شش ماه نیاز به خدمات دارد.,,
service,sports,noun,service,سرویس,The tennis player had a powerful service.,بازیکن تنیس یک سرویس قدرتمند داشت.,,
service,culinary,noun,service,سرویس,We need to buy a new service to replace the broken one.,ما باید یک سرویس جدید برای جایگزینی شکسته را بخریم.,,
service,legal,noun,service,سرویس,I received a service of summons to go to court.,من خدمات احضار را برای رفتن به دادگاه دریافت کردم.,,
service,to maintain,transitive verb,service,سرویس,Have you serviced your car this year?,آیا شما ماشین خود را در سال جاری خدمت کرده اید؟,,
service,to pay,transitive verb,service,سرویس,I'm afraid I can't service the loan.,من می ترسم من نمی توانم وام را خدمت کنم,,
services,service station,plural noun,services,خدمات,Can we stop in the next services?,آیا می توانیم در خدمات بعدی متوقف شویم؟,,
area,geographical region,noun,area,حوزه,The metropolitan area comprises several jurisdictions.,منطقه متروپولیتن شامل چندین قضایی است.,,
area,part of a larger space,noun,area,حوزه,The train has an area where cell phones are not permitted.,قطار دارای یک منطقه است که تلفن های همراه مجاز نیستند.,,
area,extension,noun,area,حوزه,The kitchen's area is ten square meters.,منطقه آشپزخانه ده متر مربع است.,,
area,mathematics,noun,area,حوزه,What is the area of the circle?,منطقه دایره چیست؟,,
area,field of study,noun,area,حوزه,I'm not specialized in that area.,من در آن منطقه تخصصی نیستم,,
area,football,noun,area,حوزه,Was he in the penalty area?,آیا او در منطقه مجازات بود؟,,
important,significant,adjective,important,مهم,It's important that you return home before the storm arrives.,مهم است که قبل از رسیدن طوفان به خانه برگردید.,,
person,individual,noun,person,شخص,I hate him because he's not a good person.,من از او متنفرم چون او شخص خوبی نیست,,
person,grammar,noun,person,شخص,You need to conjugate this verb in the first person.,شما باید این فعل را در اولین فرد ترکیب کنید.,,
hey,used to attract attention,interjection,hey,سلام,Hey! What's wrong with you?,هی! چه چیزی با شما اشتباه است؟,,
hey,greeting,interjection,hey,سلام,Hey! How's it going?,هی! اوضاع چطوره؟,,
thank,to give thanks,transitive verb,thank,متشکرم,We thanked them profusely for their generosity.,ما آنها را به خاطر سخاوتمندانه خود تشکر کردیم.,,
someone,some person,pronoun,someone,کسی,Someone's at the door.,کسی در درب است,,
